dataframe_index,original_url,generated_filename,download_status,error_message
1642,,,Skipped (Invalid URL),Empty or invalid URL found.
1643,,,Skipped (Invalid URL),Empty or invalid URL found.
1644,,,Skipped (Invalid URL),Empty or invalid URL found.
1645,,,Skipped (Invalid URL),Empty or invalid URL found.
1646,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F8JE0xd4ysvqJ-KqjBHbjsmvU6d8r6UkdOp7AbJZy2pd7yT1nFX40AaKoLhMSgmvmuHpS2NkxSKEXbgQqfd_1NuJF0lrI%3Ds0&type=IMAGE,image_618.jpg,Downloaded,
1647,,,Skipped (Invalid URL),Empty or invalid URL found.
1648,,,Skipped (Invalid URL),Empty or invalid URL found.
1649,,,Skipped (Invalid URL),Empty or invalid URL found.
1650,,,Skipped (Invalid URL),Empty or invalid URL found.
1651,,,Skipped (Invalid URL),Empty or invalid URL found.
1652,,,Skipped (Invalid URL),Empty or invalid URL found.
1653,,,Skipped (Invalid URL),Empty or invalid URL found.
1654,,,Skipped (Invalid URL),Empty or invalid URL found.
1655,,,Skipped (Invalid URL),Empty or invalid URL found.
1656,,,Skipped (Invalid URL),Empty or invalid URL found.
1657,,,Skipped (Invalid URL),Empty or invalid URL found.
1658,,,Skipped (Invalid URL),Empty or invalid URL found.
1659,,,Skipped (Invalid URL),Empty or invalid URL found.
1660,,,Skipped (Invalid URL),Empty or invalid URL found.
1661,,,Skipped (Invalid URL),Empty or invalid URL found.
1662,,,Skipped (Invalid URL),Empty or invalid URL found.
1663,,,Skipped (Invalid URL),Empty or invalid URL found.
1664,,,Skipped (Invalid URL),Empty or invalid URL found.
1665,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FoMj7Vc3v7LTp2_xsf7BdNh4rgUwwmZJvBoWfSgft8w_nGtYZZfJLWLrVHr84IkCDhOyWTvbOqF6-1zxW6SknCmwOGt7X%3Ds0&type=IMAGE,image_619.jpg,Downloaded,
1666,,,Skipped (Invalid URL),Empty or invalid URL found.
1667,,,Skipped (Invalid URL),Empty or invalid URL found.
1668,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FspZePdQuDQBStMgfnR5dv-T-62OTkYvYK_KCLmzql7OgPnVrNlygd3qI-oGjUkScX4_pncdHSmyWxL9FwUlzrc_aC8qF%3Ds0&type=IMAGE,image_620.jpg,Downloaded,
1669,,,Skipped (Invalid URL),Empty or invalid URL found.
1670,,,Skipped (Invalid URL),Empty or invalid URL found.
1671,,,Skipped (Invalid URL),Empty or invalid URL found.
1672,,,Skipped (Invalid URL),Empty or invalid URL found.
1673,,,Skipped (Invalid URL),Empty or invalid URL found.
1674,,,Skipped (Invalid URL),Empty or invalid URL found.
1675,,,Skipped (Invalid URL),Empty or invalid URL found.
1676,,,Skipped (Invalid URL),Empty or invalid URL found.
1677,,,Skipped (Invalid URL),Empty or invalid URL found.
1678,,,Skipped (Invalid URL),Empty or invalid URL found.
1679,,,Skipped (Invalid URL),Empty or invalid URL found.
1680,,,Skipped (Invalid URL),Empty or invalid URL found.
1681,,,Skipped (Invalid URL),Empty or invalid URL found.
1682,,,Skipped (Invalid URL),Empty or invalid URL found.
1683,,,Skipped (Invalid URL),Empty or invalid URL found.
1684,,,Skipped (Invalid URL),Empty or invalid URL found.
1685,,,Skipped (Invalid URL),Empty or invalid URL found.
1686,,,Skipped (Invalid URL),Empty or invalid URL found.
1687,,,Skipped (Invalid URL),Empty or invalid URL found.
1688,,,Skipped (Invalid URL),Empty or invalid URL found.
1689,,,Skipped (Invalid URL),Empty or invalid URL found.
1690,,,Skipped (Invalid URL),Empty or invalid URL found.
1691,,,Skipped (Invalid URL),Empty or invalid URL found.
1692,,,Skipped (Invalid URL),Empty or invalid URL found.
1693,,,Skipped (Invalid URL),Empty or invalid URL found.
1694,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2Fhdtzs46M4VfHmq9ey9wKYOm-KFcz7PM0srqV_59MNyrEgybEvI1Lb_p1r3jZbcLkoU3MyyIMuAN02qePYznrIDHe_9iJ%3Ds0&type=IMAGE,image_621.jpg,Downloaded,
1695,,,Skipped (Invalid URL),Empty or invalid URL found.
1696,,,Skipped (Invalid URL),Empty or invalid URL found.
1697,,,Skipped (Invalid URL),Empty or invalid URL found.
1698,,,Skipped (Invalid URL),Empty or invalid URL found.
1699,,,Skipped (Invalid URL),Empty or invalid URL found.
1700,,,Skipped (Invalid URL),Empty or invalid URL found.
1701,,,Skipped (Invalid URL),Empty or invalid URL found.
1702,,,Skipped (Invalid URL),Empty or invalid URL found.
1703,,,Skipped (Invalid URL),Empty or invalid URL found.
1704,,,Skipped (Invalid URL),Empty or invalid URL found.
1705,,,Skipped (Invalid URL),Empty or invalid URL found.
1706,,,Skipped (Invalid URL),Empty or invalid URL found.
1707,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2Ftf7p0Gur-7j549e2adWOuWjop2l3ITiT0YIXTHuiKfkHPLdMREsCbW39LWisq976E3IbfZTUsVay8Wm1PeK1iG_9FJc%3Ds0&type=IMAGE,image_622.jpg,Downloaded,
1708,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F6QDtzzwj0Vuh72lPVu65wXzWWIGbp1nezGehTNqA2FElp0SVJ5ZgE6M-2GSnvxRCMvK6NAh_Ev9ZVj0TvCH9-65G4TM%3Ds0&type=IMAGE,image_623.jpg,Downloaded,
1709,,,Skipped (Invalid URL),Empty or invalid URL found.
1710,,,Skipped (Invalid URL),Empty or invalid URL found.
1711,,,Skipped (Invalid URL),Empty or invalid URL found.
1712,,,Skipped (Invalid URL),Empty or invalid URL found.
1713,,,Skipped (Invalid URL),Empty or invalid URL found.
1714,,,Skipped (Invalid URL),Empty or invalid URL found.
1715,,,Skipped (Invalid URL),Empty or invalid URL found.
1716,,,Skipped (Invalid URL),Empty or invalid URL found.
1717,,,Skipped (Invalid URL),Empty or invalid URL found.
1718,,,Skipped (Invalid URL),Empty or invalid URL found.
1719,,,Skipped (Invalid URL),Empty or invalid URL found.
1720,,,Skipped (Invalid URL),Empty or invalid URL found.
1721,,,Skipped (Invalid URL),Empty or invalid URL found.
1722,,,Skipped (Invalid URL),Empty or invalid URL found.
1723,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2Ff_EKwbQn-BmCFOB-i29mfjTa2olRW9WtWawbHTS2orcc8f_ap5ibL9qlVhsTGOoG9-s9uuOEbq_V7R4TwPiMCTpqIw%3Ds0&type=IMAGE,image_624.jpg,Downloaded,
1724,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-OB-85.021A&type=IMAGE,image_625.jpg,Downloaded,
1725,,,Skipped (Invalid URL),Empty or invalid URL found.
1726,,,Skipped (Invalid URL),Empty or invalid URL found.
1727,,,Skipped (Invalid URL),Empty or invalid URL found.
1728,,,Skipped (Invalid URL),Empty or invalid URL found.
1729,,,Skipped (Invalid URL),Empty or invalid URL found.
1730,,,Skipped (Invalid URL),Empty or invalid URL found.
1731,,,Skipped (Invalid URL),Empty or invalid URL found.
1732,,,Skipped (Invalid URL),Empty or invalid URL found.
1733,,,Skipped (Invalid URL),Empty or invalid URL found.
1734,,,Skipped (Invalid URL),Empty or invalid URL found.
1735,,,Skipped (Invalid URL),Empty or invalid URL found.
1736,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-OB-67.425&type=IMAGE,image_626.jpg,Downloaded,
1737,,,Skipped (Invalid URL),Empty or invalid URL found.
1738,,,Skipped (Invalid URL),Empty or invalid URL found.
1739,,,Skipped (Invalid URL),Empty or invalid URL found.
1740,,,Skipped (Invalid URL),Empty or invalid URL found.
1741,,,Skipped (Invalid URL),Empty or invalid URL found.
1742,,,Skipped (Invalid URL),Empty or invalid URL found.
1743,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-OB-52.394&type=IMAGE,image_627.jpg,Downloaded,
1744,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F_ovT_7VKg4dcXwI7r1YE09B1FXXvHL-_28Qw69jbW8mcJUjp2gYZ9fCbRQhpS0skIuc0rTrkkBY72oav1KHVxlXRnD0%3Ds0&type=IMAGE,image_628.jpg,Downloaded,
1745,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F-zYusDudZ9gVkptf7cusjvtC6a5X36Q0y88H-4kYBnO-pJjW1UZQEqoi7bMGfRK3PyZ_ARaq34puH6XXSSSwJc5MK3A%3Ds0&type=IMAGE,image_629.jpg,Downloaded,
1746,,,Skipped (Invalid URL),Empty or invalid URL found.
1747,,,Skipped (Invalid URL),Empty or invalid URL found.
1748,,,Skipped (Invalid URL),Empty or invalid URL found.
1749,,,Skipped (Invalid URL),Empty or invalid URL found.
1750,,,Skipped (Invalid URL),Empty or invalid URL found.
1751,,,Skipped (Invalid URL),Empty or invalid URL found.
1752,,,Skipped (Invalid URL),Empty or invalid URL found.
1753,,,Skipped (Invalid URL),Empty or invalid URL found.
1754,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FFHpW_rkwHv-hWsnNqmY6orJxqnAOCCM6WLsC7XQwF-hbAGNSfE0AH1oQF5Xcj0CUf1bWUkUglj8WxkyZUVT007IoQY8%3Ds0&type=IMAGE,image_630.jpg,Downloaded,
1755,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F_ZkWoLzF7plRffwqorz9Cyx4IJ3eBJwiv5wXf34FoHfuq0amTgKTep6Yf20sHPiXi8uCbrEi_lvqS593Hl4LhsAdasOC%3Ds0&type=IMAGE,image_631.jpg,Downloaded,
1756,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FuLUkwDS4Qu8mA03J3L-xBvS9U8DFCzUfFs5WbxuEmEu5RVXTwqCdM1Lm8B8wVxeY10Zllv-Enhm1Zs7MzLfHPRhTAw%3Ds0&type=IMAGE,image_632.jpg,Downloaded,
1757,,,Skipped (Invalid URL),Empty or invalid URL found.
1758,,,Skipped (Invalid URL),Empty or invalid URL found.
1759,,,Skipped (Invalid URL),Empty or invalid URL found.
1760,,,Skipped (Invalid URL),Empty or invalid URL found.
1761,,,Skipped (Invalid URL),Empty or invalid URL found.
1762,,,Skipped (Invalid URL),Empty or invalid URL found.
1763,,,Skipped (Invalid URL),Empty or invalid URL found.
1764,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FNX6NocD5Zw0Ytd01cxdFN6o9yjgVAfTWy6mCiEZUM-Dt70_ToXD4hQ6h3rVJBQTnhFmhyZHiex1twkA9qmVEPCQhsQ%3Ds0&type=IMAGE,image_633.jpg,Downloaded,
1765,,,Skipped (Invalid URL),Empty or invalid URL found.
1766,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2Fp1WAqcUenLB1uzVWnmueY7kNfwKVnk5VCKbhXXZbyT7CepltB4xag7_jWZJgH0C29R0ydcMYYBLyu6J6-wWUNQU4l1jY%3Ds0&type=IMAGE,image_634.jpg,Downloaded,
1767,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-2000-211&type=IMAGE,image_635.jpg,Downloaded,
1768,,,Skipped (Invalid URL),Empty or invalid URL found.
1769,,,Skipped (Invalid URL),Empty or invalid URL found.
1770,,,Skipped (Invalid URL),Empty or invalid URL found.
1771,,,Skipped (Invalid URL),Empty or invalid URL found.
1772,,,Skipped (Invalid URL),Empty or invalid URL found.
1773,,,Skipped (Invalid URL),Empty or invalid URL found.
1774,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh4.ggpht.com%2Fz_Gj3I7bLY02QlV0FSndXtHNhzobMIwKsmKz02xUYUZe5Giux6A2POzB4Ua-Ej_4goN1ImEs9Z-aA6Z5l8UsxVGG0Q%3Ds0&type=IMAGE,image_636.jpg,Downloaded,
1775,,,Skipped (Invalid URL),Empty or invalid URL found.
1776,,,Skipped (Invalid URL),Empty or invalid URL found.
1777,,,Skipped (Invalid URL),Empty or invalid URL found.
1778,,,Skipped (Invalid URL),Empty or invalid URL found.
1779,,,Skipped (Invalid URL),Empty or invalid URL found.
1780,,,Skipped (Invalid URL),Empty or invalid URL found.
1781,,,Skipped (Invalid URL),Empty or invalid URL found.
1782,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F5g8UONNOHzzOsikxrY3mtYd2ZYwnRtIV9A6bL3dF2voMmMaJXPiEXbV9BobYPVhhco4GL_enoxC-bT5JN_v3ocByLydh%3Ds0&type=IMAGE,image_637.jpg,Downloaded,
1783,,,Skipped (Invalid URL),Empty or invalid URL found.
1784,,,Skipped (Invalid URL),Empty or invalid URL found.
1785,,,Skipped (Invalid URL),Empty or invalid URL found.
1786,,,Skipped (Invalid URL),Empty or invalid URL found.
1787,,,Skipped (Invalid URL),Empty or invalid URL found.
1788,,,Skipped (Invalid URL),Empty or invalid URL found.
1789,,,Skipped (Invalid URL),Empty or invalid URL found.
1790,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F9cFswBUlD9EuW_L3NIOsK_0RVm0fn8bn_i9k3UeLE23rwt7lgWZ8yFbP2oAS1eHTVFteBM0o9DEk_kpE4MvIz3J1Uxs%3Ds0&type=IMAGE,image_638.jpg,Downloaded,
1791,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1991-566&type=IMAGE,image_639.jpg,Downloaded,
1792,,,Skipped (Invalid URL),Empty or invalid URL found.
1793,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh5.ggpht.com%2F62F1qxmObdlLiE1sFcedv5q_RTLAxTXxVIJ_RY4-YXvlYKXGYVFktT5gGuZMl7EnUB4_GVAX7iv_tUw7oH2QH-aAgA%3Ds0&type=IMAGE,image_640.jpg,Downloaded,
1794,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FIcXXFBHCBARp3T9MPaFWxI1dUXGTtfFDc9bOamNlAZXYqeTKrNa3iDqJbMOfw_ag-Jz1r9W3y376n5oa7k5tTNbCRw%3Ds0&type=IMAGE,image_641.jpg,Downloaded,
1795,,,Skipped (Invalid URL),Empty or invalid URL found.
1796,,,Skipped (Invalid URL),Empty or invalid URL found.
1797,,,Skipped (Invalid URL),Empty or invalid URL found.
1798,,,Skipped (Invalid URL),Empty or invalid URL found.
1799,,,Skipped (Invalid URL),Empty or invalid URL found.
1800,,,Skipped (Invalid URL),Empty or invalid URL found.
1801,,,Skipped (Invalid URL),Empty or invalid URL found.
1802,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FzWJcW1N8xy8fW47eH8wORbfhCCyElZ-20ADvEDINkld-ad9zBX8QtmLXOKJBq4pd6AA_rtTigE1UiXaS_mCsnGkOuw%3Ds0&type=IMAGE,image_642.jpg,Downloaded,
1803,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FTvXrW6SYNAnWxkrV4L8pXZIr7qxNEy6UJmZR0bxbpAJ6dd-a6l4RxzvuK_nhujdxYTE2CUK4ZiVUl24xwQDERcPp1Yo%3Ds0&type=IMAGE,image_643.jpg,Downloaded,
1804,,,Skipped (Invalid URL),Empty or invalid URL found.
1805,,,Skipped (Invalid URL),Empty or invalid URL found.
1806,,,Skipped (Invalid URL),Empty or invalid URL found.
1807,,,Skipped (Invalid URL),Empty or invalid URL found.
1808,,,Skipped (Invalid URL),Empty or invalid URL found.
1809,,,Skipped (Invalid URL),Empty or invalid URL found.
1810,,,Skipped (Invalid URL),Empty or invalid URL found.
1811,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F5a0ohSNWTfRUzWmp8-Q0P8H0Fgvqt6V-z1wIu1UfguKAk52OD3bKSvzpi0-MCQpxZsK7TkxQbvRZf1MhxBcYQDYUAw%3Ds0&type=IMAGE,image_644.jpg,Downloaded,
1812,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh4.ggpht.com%2Fj_5T7Neh7HyBOxUzDwJY0bKd3x9TZOdbyxP1GtrZDv34lg2YfjNqTGVhBU2S_v6ph2UEcYdRzRwOghblOFdSX-VG4Q%3Ds0&type=IMAGE,image_645.jpg,Downloaded,
1813,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh4.ggpht.com%2F8kM8tI2CuHbtLIdtVCJudW8hFOlidl9qWrnEN3SZbCS6BstpuaNUpeFUt2lEitAthg2jvn2dgJvI49C31OPslGnYMA%3Ds0&type=IMAGE,image_646.jpg,Downloaded,
1814,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FWUJXI-Rm09K8XE91Z5kV0sVm19tVc-LkTzt0eC9eqrlJzNirgb9nqTGpbnP5yU-bkqSu4UPVCyrdyVF0V0pKxmLN_fM%3Ds0&type=IMAGE,image_647.jpg,Downloaded,
1815,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FnCXsTOWlZH9Md9S9_Ci-NbT5WotxNKyUjeE72L2JlMOq8_g6tgyZG3ZQZbHYDYOxBj7RfQaDUack80HA5ii2j1YkUjw%3Ds0&type=IMAGE,image_648.jpg,Downloaded,
1816,,,Skipped (Invalid URL),Empty or invalid URL found.
1817,,,Skipped (Invalid URL),Empty or invalid URL found.
1818,,,Skipped (Invalid URL),Empty or invalid URL found.
1819,,,Skipped (Invalid URL),Empty or invalid URL found.
1820,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh5.ggpht.com%2FgwIanX3r_wm5Nqc6jYU_4KnwBqMWSbxl4BcVlPFS14C2R3TO3buh4-APBxmThHJXsMwS3g7ghk67bJQIbPRcmWktjw%3Ds0&type=IMAGE,image_649.jpg,Downloaded,
1821,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh5.ggpht.com%2F2zQ_dbzWtU_-3INoRyi9PoJJ6xYEE1SN65zhavPwI7eJ9DDjgsxGJjoT41SQFbFt5n-6-6GRlht8WB_6Hc7rCpVDkRg%3Ds0&type=IMAGE,image_650.jpg,Downloaded,
1822,,,Skipped (Invalid URL),Empty or invalid URL found.
1823,,,Skipped (Invalid URL),Empty or invalid URL found.
1824,,,Skipped (Invalid URL),Empty or invalid URL found.
1825,,,Skipped (Invalid URL),Empty or invalid URL found.
1826,,,Skipped (Invalid URL),Empty or invalid URL found.
1827,,,Skipped (Invalid URL),Empty or invalid URL found.
1828,,,Skipped (Invalid URL),Empty or invalid URL found.
1829,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh5.ggpht.com%2FpLayFlvr6u39GgoMJW4u7bBKl4aFxTIe7HI2kqCa4jTc90WIfxMtzfCwT82XNufupogwLsyEz0WIv-42OW54ke51Xhs%3Ds0&type=IMAGE,image_651.jpg,Downloaded,
1830,,,Skipped (Invalid URL),Empty or invalid URL found.
1831,,,Skipped (Invalid URL),Empty or invalid URL found.
1832,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh5.ggpht.com%2FtCAPLExXbJ8zWCBVZpoCG-bvQe-hV4gZd3PkHtFey1wYWLlx9wWXOZxPXOsawBCpJGONjXDCDCkiI3XXMaRZlEviW-s%3Ds0&type=IMAGE,image_652.jpg,Downloaded,
1833,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.ggpht.com%2FTW-YDOkegBWTm-mHvZILP7QTxNlZ0puwNYJj5dt-HmcCCO03uwp-kNmLvnW2cQijTSfR0KlmcTw2N_4DaLH30EMQuGJb%3Ds0&type=IMAGE,image_653.jpg,Downloaded,
1834,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FIX81ZlE1tIWYsLjvMNl7BU2WTSMQDM-qa_FXPSqirDooKgfn1lnUjRCLOKx9fge03prSxNldnDBlUQr-j5UFG4EdIw%3Ds0&type=IMAGE,image_654.jpg,Downloaded,
1835,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FL8yr2mfHMqfGu0rjj165EVMnzCZd88GrRQDFBo51PFz0V_5qShz8tbBhKe3kTdzmloNhgelGWGCEjHu8YyMbui9jOfQ%3Ds0&type=IMAGE,image_655.jpg,Downloaded,
1836,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F4jllSkBRKRlxrw7FAO30F7HBtsKhq-kgPwE8CvXNiuXdzd91pGwa5fifn2jaoZeFYWh_8yYtGrbFo3gWdl2m0DWd1BSn%3Ds0&type=IMAGE,image_656.jpg,Downloaded,
1837,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FeQoH-7yJSbME2FYbbonpEZKm0l0XEISJ3SKuK_vgPL6f-3CNy3x4kMNfl9jyOr-hbZDnn_E4_6dR_XbiWCIWnT5-juE1%3Ds0&type=IMAGE,image_657.jpg,Downloaded,
1838,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh5.ggpht.com%2FHtXpTwxb_NsA2FS2y6oetZL2oNTxe49fnp_MUZMoThj5gzeaLvPIF1LBWBZa5obsVinIgtTmWkLQ1lZXnMztDc9hRFo%3Ds0&type=IMAGE,image_658.jpg,Downloaded,
1839,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh5.ggpht.com%2FYPktTn88qaF4EV-_NUzghdc74p4EnPfAb_givaKonAN0TG3hkgCz-4a7BPpBj0m4Axqt9J8qlhGJj-3AY-2Yu-acnXQ%3Ds0&type=IMAGE,image_659.jpg,Downloaded,
1840,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F5XHr_mFruY3qWW8-GIUD0qdVETdG99RipSmqwNZwjy03Zh9C76O3SFJED8qhsR56Q9GTQllf0rn_iPRuKCDXrBL0fg%3Ds0&type=IMAGE,image_660.jpg,Downloaded,
1841,,,Skipped (Invalid URL),Empty or invalid URL found.
1842,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FFnGU8N6tuwWqAt4GxZpSU0CyXVyr-V16DQA5KXqm2HXdme5HbIiIXtHlW9k_qF4GecwTd4Lb2PHZHbIcIKvQifQ8Y6w%3Ds0&type=IMAGE,image_661.jpg,Downloaded,
1843,,,Skipped (Invalid URL),Empty or invalid URL found.
1844,,,Skipped (Invalid URL),Empty or invalid URL found.
1845,,,Skipped (Invalid URL),Empty or invalid URL found.
1846,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FLe4jpykqOP9b3W85FTefq6bM5NZkRTaTl-vsdtdorIPrGIcXSAn92Cx2KrGELhjF6YJdLzYlfRIeff9QCnJBrDxD4CA%3Ds0&type=IMAGE,image_662.jpg,Downloaded,
1847,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FFRuLD_VmSOaOLb2-JWvNBLkJYseP9re2wxH5bENHB2wzn3tpGzcIbzYJhWlZ4xCh3CKP9NUf3aiD0tXNDMgBDH0zF1s%3Ds0&type=IMAGE,image_663.jpg,Downloaded,
1848,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh5.ggpht.com%2FlRKq-iQ5bAg4crwwv0VXy4G7V0N0js2N8hXgaMe0iIZBhNfbzu6WAGKJuoCvHGEpyCIKxIXYBM1p_fQMWLO5u7aVxs0%3Ds0&type=IMAGE,image_664.jpg,Downloaded,
1849,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FcfMX3BO8k6P7jOo9CmKqf8KE-G23OKArDQtaYLFuLAps6uWjBBtSxtlzbcBUZL5CsKnTMVzYoN8FVsSKEr6vJjjV5Q%3Ds0&type=IMAGE,image_665.jpg,Downloaded,
1850,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FBkpQzrHcQHHa-2LeniPtjTnQu43JB5sg7tm_oK97MQgnuqV1iWdlHmKHAdyF5hy6nJMGbCMrYYjQ9EoUlSQAD-kPFbAL%3Ds0&type=IMAGE,image_666.jpg,Downloaded,
1851,,,Skipped (Invalid URL),Empty or invalid URL found.
1852,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FLsmTYyvXMgzoCW2A5Yei7JXwYDgHmjR1lV5pImRB7kCi9SJC9o5SgrIrASLJStKuoFZ6RXL84CgK2LXi7Yq8OEAutQ%3Ds0&type=IMAGE,image_667.jpg,Downloaded,
1853,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2F-ZEI_TIaEGE1X9JTPNmvE-67ldWedEf0I8UIQBEiStrBhgX9RmZ3rTEvz9IhZZMYl9j2e9_VUQyd1OICHIxb8Jq8hoA%3Ds0&type=IMAGE,image_668.jpg,Downloaded,
1854,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FUgQSuO6pk2B9ukM-6H5fO-taQW-mJtgpaUYabzTdtTBBy6lkV0hL9l_Cw-kC4SeD5qaRD3FLRZfjIMwzLs4E7chGJ4Xs%3Ds0&type=IMAGE,image_669.jpg,Downloaded,
1855,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FSOWbeP2yl69wf_H-OqzsNbSh20s59IMnIZpK4jegFP27_43FmP2p5yVcghkHEpEHWro_0k_Y6n4TBDZmYf3iDunCxjI%3Ds0&type=IMAGE,image_670.jpg,Downloaded,
1856,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FbdQH0Dxq33kEpEjEQDPNvoxbsJPbhUBr-Y8EIjmvxrMSti-QcZAh62_1aHZDrg79WWJTN6UNHTZfy4siLp0F_h7x8Q%3Ds0&type=IMAGE,image_671.jpg,Downloaded,
1857,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flh3.googleusercontent.com%2FTftVmCS8Y4cM0RrWARfn4BAJ59yAX0wK4mKYzD9Cpy_UMXAiSF7l_fJ9nWi1KCY0xHdNEGz_LkXDRhJOuibnPy_yDQ%3Ds0&type=IMAGE,image_672.jpg,Downloaded,
