dataframe_index,original_url,generated_filename,download_status,error_message
80,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA142354%2Fsmall&type=IMAGE,image_11.jpg,Downloaded,
81,,,Skipped (Invalid URL),Empty or invalid URL found.
82,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA120439%2Fsmall&type=IMAGE,image_12.jpg,Downloaded,
83,,,Skipped (Invalid URL),Empty or invalid URL found.
84,,,Skipped (Invalid URL),Empty or invalid URL found.
85,,,Skipped (Invalid URL),Empty or invalid URL found.
86,,,Skipped (Invalid URL),Empty or invalid URL found.
87,,,Skipped (Invalid URL),Empty or invalid URL found.
88,,,Skipped (Invalid URL),Empty or invalid URL found.
89,,,Skipped (Invalid URL),Empty or invalid URL found.
90,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA120438%2Fsmall&type=IMAGE,image_13.jpg,Downloaded,
91,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA120420%2Fsmall&type=IMAGE,image_14.jpg,Downloaded,
92,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA120409%2Fsmall&type=IMAGE,image_15.jpg,Downloaded,
93,,,Skipped (Invalid URL),Empty or invalid URL found.
94,,,Skipped (Invalid URL),Empty or invalid URL found.
95,,,Skipped (Invalid URL),Empty or invalid URL found.
96,,,Skipped (Invalid URL),Empty or invalid URL found.
97,,,Skipped (Invalid URL),Empty or invalid URL found.
98,,,Skipped (Invalid URL),Empty or invalid URL found.
99,,,Skipped (Invalid URL),Empty or invalid URL found.
100,,,Skipped (Invalid URL),Empty or invalid URL found.
101,,,Skipped (Invalid URL),Empty or invalid URL found.
102,,,Skipped (Invalid URL),Empty or invalid URL found.
103,,,Skipped (Invalid URL),Empty or invalid URL found.
104,,,Skipped (Invalid URL),Empty or invalid URL found.
105,,,Skipped (Invalid URL),Empty or invalid URL found.
106,,,Skipped (Invalid URL),Empty or invalid URL found.
107,,,Skipped (Invalid URL),Empty or invalid URL found.
108,,,Skipped (Invalid URL),Empty or invalid URL found.
109,,,Skipped (Invalid URL),Empty or invalid URL found.
110,,,Skipped (Invalid URL),Empty or invalid URL found.
111,,,Skipped (Invalid URL),Empty or invalid URL found.
112,,,Skipped (Invalid URL),Empty or invalid URL found.
113,,,Skipped (Invalid URL),Empty or invalid URL found.
114,,,Skipped (Invalid URL),Empty or invalid URL found.
115,,,Skipped (Invalid URL),Empty or invalid URL found.
116,,,Skipped (Invalid URL),Empty or invalid URL found.
117,,,Skipped (Invalid URL),Empty or invalid URL found.
118,,,Skipped (Invalid URL),Empty or invalid URL found.
119,,,Skipped (Invalid URL),Empty or invalid URL found.
120,,,Skipped (Invalid URL),Empty or invalid URL found.
121,,,Skipped (Invalid URL),Empty or invalid URL found.
122,,,Skipped (Invalid URL),Empty or invalid URL found.
123,,,Skipped (Invalid URL),Empty or invalid URL found.
124,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141423%2Fsmall&type=IMAGE,image_16.jpg,Downloaded,
125,,,Skipped (Invalid URL),Empty or invalid URL found.
126,,,Skipped (Invalid URL),Empty or invalid URL found.
127,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA132486%2Fsmall&type=IMAGE,image_17.jpg,Downloaded,
128,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FB235849%2Fsmall&type=IMAGE,image_18.jpg,Downloaded,
129,,,Skipped (Invalid URL),Empty or invalid URL found.
130,,,Skipped (Invalid URL),Empty or invalid URL found.
131,,,Skipped (Invalid URL),Empty or invalid URL found.
132,,,Skipped (Invalid URL),Empty or invalid URL found.
133,,,Skipped (Invalid URL),Empty or invalid URL found.
134,,,Skipped (Invalid URL),Empty or invalid URL found.
135,,,Skipped (Invalid URL),Empty or invalid URL found.
136,,,Skipped (Invalid URL),Empty or invalid URL found.
137,,,Skipped (Invalid URL),Empty or invalid URL found.
138,,,Skipped (Invalid URL),Empty or invalid URL found.
139,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FB235850%2Fsmall&type=IMAGE,image_19.jpg,Downloaded,
140,,,Skipped (Invalid URL),Empty or invalid URL found.
141,,,Skipped (Invalid URL),Empty or invalid URL found.
142,,,Skipped (Invalid URL),Empty or invalid URL found.
143,,,Skipped (Invalid URL),Empty or invalid URL found.
144,,,Skipped (Invalid URL),Empty or invalid URL found.
145,,,Skipped (Invalid URL),Empty or invalid URL found.
146,,,Skipped (Invalid URL),Empty or invalid URL found.
147,,,Skipped (Invalid URL),Empty or invalid URL found.
148,,,Skipped (Invalid URL),Empty or invalid URL found.
149,,,Skipped (Invalid URL),Empty or invalid URL found.
150,,,Skipped (Invalid URL),Empty or invalid URL found.
151,,,Skipped (Invalid URL),Empty or invalid URL found.
152,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141424%2Fsmall&type=IMAGE,image_20.jpg,Downloaded,
153,,,Skipped (Invalid URL),Empty or invalid URL found.
154,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141734%2Fsmall&type=IMAGE,image_21.jpg,Downloaded,
